Year,Value,Season,stat_area,Indicator,Value_var
1980,8.972483769707507,all,511-513,mcc,NA
1981,-1.4457844356701712,all,511-513,mcc,NA
1982,-4.915492032443378,all,511-513,mcc,NA
1983,-5.4786221489599365,all,511-513,mcc,NA
1984,-5.41503459777709,all,511-513,mcc,NA
1985,-5.333069814767644,all,511-513,mcc,NA
1986,-6.490043643562991,all,511-513,mcc,NA
1987,-8.849893666786889,all,511-513,mcc,NA
1988,-2.859038395152982,all,511-513,mcc,NA
1989,-2.1956862237824724,all,511-513,mcc,NA
1990,3.6174847734988376,all,511-513,mcc,NA
1991,0.61946131937558,all,511-513,mcc,NA
1992,-4.409567611798438,all,511-513,mcc,NA
1993,0.9710777686554888,all,511-513,mcc,NA
1994,0.8168971035330589,all,511-513,mcc,NA
1995,6.431604679240138,all,511-513,mcc,NA
1996,5.548016468698772,all,511-513,mcc,NA
1997,3.2192273762938295,all,511-513,mcc,NA
1998,0.25984493923009966,all,511-513,mcc,NA
1999,-2.4442835163863523,all,511-513,mcc,NA
2000,7.813855234239054,all,511-513,mcc,NA
2001,6.037321538532206,all,511-513,mcc,NA
2002,4.53728106680059,all,511-513,mcc,NA
2003,0.43017316038641557,all,511-513,mcc,NA
2004,6.7302798814712625,all,511-513,mcc,NA
2005,2.79030812979712,all,511-513,mcc,NA
2006,-0.5215547584320822,all,511-513,mcc,NA
2007,4.133732897645809,all,511-513,mcc,NA
2008,7.71154115037636,all,511-513,mcc,NA
2009,5.237631128532597,all,511-513,mcc,NA
2010,7.6310772377238205,all,511-513,mcc,NA
2011,-6.167929092908148,all,511-513,mcc,NA
2012,-8.622261791168722,all,511-513,mcc,NA
2013,-7.32825944159503,all,511-513,mcc,NA
2014,-2.2241120951826376,all,511-513,mcc,NA
2015,-3.6948256230215133,all,511-513,mcc,NA
2016,-5.113840734342068,all,511-513,mcc,NA
1980,7.984816454837013,fall,511-513,mcc,151.77948138243175
1981,3.3190816936300718,fall,511-513,mcc,10.739812095027375
1982,-2.8202536048286477,fall,511-513,mcc,123.47216490736072
1983,-3.9332151426097663,fall,511-513,mcc,48.70095685629317
1984,-7.880023911502628,fall,511-513,mcc,36.81874239952236
1985,-6.744277768651625,fall,511-513,mcc,0.35803201530637363
1986,-3.5363012274649717,fall,511-513,mcc,15.245700224392012
1987,-8.769873567854578,fall,511-513,mcc,22.358312414393662
1988,-4.539928945047944,fall,511-513,mcc,144.72235326394573
1989,-4.03342697134079,fall,511-513,mcc,91.34224282970902
1990,10.603910403681082,fall,511-513,mcc,76.54887545512774
1991,10.37815829921407,fall,511-513,mcc,88.88389285911013
1992,-0.9681157021768982,fall,511-513,mcc,48.71568903044657
1993,-4.773750387724128,fall,511-513,mcc,2.1498992571140483
1994,0.7178631804848873,fall,511-513,mcc,73.32105983468819
1995,-0.22830768259875164,fall,511-513,mcc,59.68143416511635
1996,13.093846002027842,fall,511-513,mcc,22.141562252061114
1997,9.722462244054936,fall,511-513,mcc,394.2867916306866
1998,-1.8834246075805183,fall,511-513,mcc,14.070635500052921
1999,-5.257971077901906,fall,511-513,mcc,22.014917955422128
2000,16.235341253036676,fall,511-513,mcc,19.108051548822775
2001,-0.6593565220505891,fall,511-513,mcc,15.98835676666955
2002,10.08944275887384,fall,511-513,mcc,27.8187002698749
2003,3.807127387176782,fall,511-513,mcc,99.04207942556297
2004,6.699412871053651,fall,511-513,mcc,54.86648827658272
2005,-0.8773517572770287,fall,511-513,mcc,25.89283732917875
2006,-3.6666235639404494,fall,511-513,mcc,0.3398687623250545
2007,-2.8081789343494243,fall,511-513,mcc,12.358507043975113
2008,9.122635034121007,fall,511-513,mcc,3.9246479936882426
2009,3.131243784770277,fall,511-513,mcc,17.915066072164063
2010,1.7168524975721386,fall,511-513,mcc,48.83988565563388
2011,-7.045627606863958,fall,511-513,mcc,16.891736475772785
2012,-7.870741056203544,fall,511-513,mcc,17.712691151208507
2013,-9.69438362178873,fall,511-513,mcc,31.02405892094078
2014,-6.998475447944223,fall,511-513,mcc,20.639804547811213
2015,-8.354936369147586,fall,511-513,mcc,3.759291716032476
2016,-9.690528948980825,fall,511-513,mcc,0.7526875262839413
1980,3.0648524407371363,spring,511-513,mcc,102.3631341291506
1981,-1.176169353791404,spring,511-513,mcc,13.087616231317234
1982,-9.23445059841749,spring,511-513,mcc,74.93820439291767
1983,0.1953602021781866,spring,511-513,mcc,1.886179133984849
1984,4.5875056002497585,spring,511-513,mcc,47.18844789050856
1985,-2.283620375864263,spring,511-513,mcc,13.366005510800617
1986,-0.1771134471615841,spring,511-513,mcc,195.69650239178085
1987,-7.166220410097414,spring,511-513,mcc,32.27163115757732
1988,-0.4791195974737083,spring,511-513,mcc,181.22070014268957
1989,0.9981027909039571,spring,511-513,mcc,44.17485254270151
1990,-3.5262332893349355,spring,511-513,mcc,244.37249163350285
1991,-0.3285391221217247,spring,511-513,mcc,35.023768367628385
1992,-11.674765500868752,spring,511-513,mcc,33.86751439259354
1993,7.986798451937514,spring,511-513,mcc,29.731385807105458
1994,1.1247932641562677,spring,511-513,mcc,8.338968970068644
1995,14.376385408401921,spring,511-513,mcc,36.25482907560414
1996,0.21181399278832072,spring,511-513,mcc,7.338132650824559
1997,5.735749421165599,spring,511-513,mcc,128.01316491404714
1998,-1.7055970944923313,spring,511-513,mcc,7.4180339843442455
1999,2.11627518207363,spring,511-513,mcc,14.83199949621438
2000,11.904396232686219,spring,511-513,mcc,13.49579493456425
2001,18.659584966618585,spring,511-513,mcc,30.508694760597585
2002,3.9636179456545446,spring,511-513,mcc,7.835321899101787
2003,-1.2830674543306673,spring,511-513,mcc,18.684617294966593
2004,11.779329135540888,spring,511-513,mcc,2.055021546573274
2005,5.254114694106983,spring,511-513,mcc,14.932361139252007
2006,3.9850297325155752,spring,511-513,mcc,94.24804430156105
2007,11.895539119061763,spring,511-513,mcc,44.11917473746745
2008,5.600887594140845,spring,511-513,mcc,28.72332745342569
2009,12.313299344595173,spring,511-513,mcc,23.944469589384575
2010,9.02304262728705,spring,511-513,mcc,139.63593543498942
2011,-4.306027689855378,spring,511-513,mcc,1.606266698322212
2012,-10.45776919693133,spring,511-513,mcc,4.535315400952999
2013,-5.282870183560153,spring,511-513,mcc,14.2453170891681
2014,9.775084225460725,spring,511-513,mcc,82.86784806289381
2015,1.4503487297590725,spring,511-513,mcc,35.14377740949212
2016,0.8057109529947557,spring,511-513,mcc,21.067390403911148
1980,27.63383916850983,summer,511-513,mcc,330.96414737129004
1981,-3.6359258274593675,summer,511-513,mcc,9.53457804928454
1982,3.9437894347163693,summer,511-513,mcc,43.85273837057745
1983,-8.526814230621127,summer,511-513,mcc,17.012945204692507
1984,-5.652378752004921,summer,511-513,mcc,12.420275481567467
1985,2.385518827435421,summer,511-513,mcc,0.31701905543807846
1986,-5.854593538037001,summer,511-513,mcc,7.116801912473854
1987,-4.899393374171555,summer,511-513,mcc,10.225007116354174
1988,12.14216340021773,summer,511-513,mcc,121.35110055883413
1989,9.758987506839649,summer,511-513,mcc,5.515957836753305
1990,23.883948921347624,summer,511-513,mcc,4.035407207610375
1991,1.0034484749227097,summer,511-513,mcc,51.985955763492335
1992,7.075557635666426,summer,511-513,mcc,47.54179759409464
1993,2.1295805701225325,summer,511-513,mcc,14.309598219597353
1994,3.885518611127267,summer,511-513,mcc,69.20898481971216
1995,5.536958870897084,summer,511-513,mcc,14.06445156846984
1996,6.559332485408522,summer,511-513,mcc,1.5028196575436563
1997,-0.20807167042533434,summer,511-513,mcc,23.438243363964908
