Year,Season,Indicator,Value,stat_area
1980,all,fvcom_bt,-0.04014753938448905,511-513
1980,all,fvcom_sst,-0.18994265740813232,511-513
1980,fall,fvcom_bt,-0.3035604924509211,511-513
1980,fall,fvcom_sst,-0.7601206431518783,511-513
1980,spring,fvcom_bt,0.14870163357164762,511-513
1980,spring,fvcom_sst,1.1570924111164598,511-513
1980,summer,fvcom_bt,0.4554648387932386,511-513
1980,summer,fvcom_sst,-0.5990435912591268,511-513
1980,winter,fvcom_bt,0.06624411246291168,511-513
1980,winter,fvcom_sst,-0.02153906750174927,511-513
1981,all,fvcom_bt,-0.17065643403820804,511-513
1981,all,fvcom_sst,-0.2086629285581241,511-513
1981,all,oisst,-0.22737794979091683,511-513
1981,fall,fvcom_bt,-0.7405785853167147,511-513
1981,fall,fvcom_sst,-0.9304286666433749,511-513
1981,fall,oisst,-0.3628798726390743,511-513
1981,spring,fvcom_bt,0.6481092471122463,511-513
1981,spring,fvcom_sst,1.326286446897355,511-513
1981,summer,fvcom_bt,0.26093660520023626,511-513
1981,summer,fvcom_sst,-0.3586973335809441,511-513
1981,winter,fvcom_bt,-1.1935702349493968,511-513
1981,winter,fvcom_sst,-1.4108710665914674,511-513
1982,all,fvcom_bt,-0.04835581420268209,511-513
1982,all,fvcom_sst,-0.25547687304386024,511-513
1982,all,oisst,-0.03367935879609152,511-513
1982,fall,fvcom_bt,-0.3990423389692384,511-513
1982,fall,fvcom_sst,-0.3271109850127573,511-513
1982,fall,oisst,0.15024386014398033,511-513
1982,spring,fvcom_bt,0.36332890069779655,511-513
1982,spring,fvcom_sst,0.2005705063038311,511-513
1982,spring,oisst,0.3256623663240819,511-513
1982,summer,fvcom_bt,-0.23414703622526123,511-513
1982,summer,fvcom_sst,-1.271690770739708,511-513
1982,summer,oisst,-1.0896773411243454,511-513
1982,winter,fvcom_bt,-0.06863703397441395,511-513
1982,winter,fvcom_sst,0.1736635291870843,511-513
1982,winter,oisst,0.295105960786776,511-513
1983,all,fvcom_bt,0.10937462779812507,511-513
1983,all,fvcom_sst,-0.06973277625136637,511-513
1983,all,oisst,0.3002340035180582,511-513
1983,fall,fvcom_bt,-0.18895605116460168,511-513
1983,fall,fvcom_sst,-0.22178149735875632,511-513
1983,fall,oisst,0.30808558426085964,511-513
1983,spring,fvcom_bt,0.5458264432516452,511-513
1983,spring,fvcom_sst,0.3732962846276011,511-513
1983,spring,oisst,0.7099726267279479,511-513
1983,summer,fvcom_bt,-0.13220500807086022,511-513
1983,summer,fvcom_sst,-0.9829264501626309,511-513
1983,summer,oisst,-0.509846321390625,511-513
1983,winter,fvcom_bt,0.20323762841051268,511-513
1983,winter,fvcom_sst,0.7657582772955771,511-513
1983,winter,oisst,0.8662469676095701,511-513
1984,all,fvcom_bt,0.07998095588943885,511-513
1984,all,fvcom_sst,-0.13601043369296206,511-513
1984,all,oisst,0.1744317414425394,511-513
1984,fall,fvcom_bt,-0.2666576626050073,511-513
1984,fall,fvcom_sst,-0.40092512145235765,511-513
1984,fall,oisst,0.225472285520343,511-513
1984,spring,fvcom_bt,0.2689287143938615,511-513
1984,spring,fvcom_sst,-0.07828464878941895,511-513
1984,spring,oisst,-0.018684192927138972,511-513
1984,summer,fvcom_bt,-0.16208855851134707,511-513
1984,summer,fvcom_sst,-0.7079762759910748,511-513
1984,summer,oisst,-0.21285910351032813,511-513
1984,winter,fvcom_bt,0.30497165634412,511-513
1984,winter,fvcom_sst,0.31402718756936865,511-513
1984,winter,oisst,0.3578308732160148,511-513
1985,all,fvcom_bt,0.09503438900401197,511-513
1985,all,fvcom_sst,-0.3075825329228945,511-513
1985,all,oisst,-0.06770681241319153,511-513
1985,fall,fvcom_bt,-0.38492509964414345,511-513
1985,fall,fvcom_sst,-0.3004026858010216,511-513
1985,fall,oisst,-0.028802450179637198,511-513
1985,spring,fvcom_bt,0.34372565502136015,511-513
1985,spring,fvcom_sst,-0.004270462787887754,511-513
1985,spring,oisst,0.29869961426102637,511-513
1985,summer,fvcom_bt,-0.03437747878073726,511-513
1985,summer,fvcom_sst,-1.2145285676061968,511-513
1985,summer,oisst,-1.0008111841109555,511-513
1985,winter,fvcom_bt,0.736473238853113,511-513
1985,winter,fvcom_sst,0.8027593723183907,511-513
1985,winter,oisst,0.9654749032647284,511-513
1986,all,fvcom_bt,0.046068963686327936,511-513
1986,all,fvcom_sst,-0.41176152570414176,511-513
1986,all,oisst,-0.24643301480346794,511-513
1986,fall,fvcom_bt,-0.42985327288622427,511-513
1986,fall,fvcom_sst,-0.8544866402951868,511-513
1986,fall,oisst,-0.6049670454790272,511-513
1986,spring,fvcom_bt,0.6413995557060341,511-513
1986,spring,fvcom_sst,0.3246693626505003,511-513
1986,spring,oisst,0.3910525208770077,511-513
1986,summer,fvcom_bt,0.050538225091541794,511-513
1986,summer,fvcom_sst,-0.869946368136283,511-513
1986,summer,oisst,-0.7450767138276388,511-513
1986,winter,fvcom_bt,-0.039912451842761876,511-513
1986,winter,fvcom_sst,-0.2912472814366909,511-513
1986,winter,oisst,-0.0031461853213197,511-513
1987,all,fvcom_bt,-0.6612217233538022,511-513
1987,all,fvcom_sst,-0.8740453651074939,511-513
1987,all,oisst,-0.5882799815898069,511-513
1987,fall,fvcom_bt,-1.370222290254153,511-513
1987,fall,fvcom_sst,-1.118577863749426,511-513
1987,fall,oisst,-0.6660570368213438,511-513
1987,spring,fvcom_bt,-0.3296440918179175,511-513
1987,spring,fvcom_sst,-0.9042018248258994,511-513
1987,spring,oisst,-0.7141854366902683,511-513
1987,summer,fvcom_bt,-0.5907132839745083,511-513
1987,summer,fvcom_sst,-0.7069902119544521,511-513
1987,summer,oisst,-0.7304473733674103,511-513
1987,winter,fvcom_bt,-0.1449974207927081,511-513
1987,winter,fvcom_sst,-0.4398129528467919,511-513
1987,winter,oisst,-0.033506727921936395,511-513
1988,all,fvcom_bt,-0.3980171396391845,511-513
1988,all,fvcom_sst,-0.8846166477583217,511-513
1988,all,oisst,-0.44556870766101825,511-513
1988,fall,fvcom_bt,-0.8572924391656453,511-513
1988,fall,fvcom_sst,-1.2432455201422405,511-513
1988,fall,oisst,-0.7658806910157723,511-513
1988,spring,fvcom_bt,-0.034591041295792574,511-513
