Year,Season,stat_area,Indicator,Value
1961,all,511-513,cpr_FirstMode,0.07104395804420574
1961,all,511-513,cpr_SecondMode,-0.6341336462294213
1962,all,511-513,cpr_FirstMode,-0.09225736677100461
1962,all,511-513,cpr_SecondMode,-0.8855621348414838
1963,all,511-513,cpr_FirstMode,-0.8124571089552591
1963,all,511-513,cpr_SecondMode,-1.2291291470974888
1964,all,511-513,cpr_FirstMode,0.42646264139445694
1964,all,511-513,cpr_SecondMode,-0.05861746369473109
1965,all,511-513,cpr_FirstMode,0.7888870400456511
1965,all,511-513,cpr_SecondMode,-0.24691971811723062
1966,all,511-513,cpr_FirstMode,1.1775790230851455
1966,all,511-513,cpr_SecondMode,-0.8884964180211191
1967,all,511-513,cpr_FirstMode,0.8210525664630476
1967,all,511-513,cpr_SecondMode,-0.69469627741926
1968,all,511-513,cpr_FirstMode,0.8314222195786212
1968,all,511-513,cpr_SecondMode,-0.6558876096547056
1969,all,511-513,cpr_FirstMode,0.7617070483366342
1969,all,511-513,cpr_SecondMode,-0.4844196867228317
1970,all,511-513,cpr_FirstMode,0.6643635268484387
1970,all,511-513,cpr_SecondMode,-1.128183743297335
1971,all,511-513,cpr_FirstMode,1.0292307978445983
1971,all,511-513,cpr_SecondMode,0.05669787506896258
1972,all,511-513,cpr_FirstMode,0.5133885023166611
1972,all,511-513,cpr_SecondMode,-0.782046793328836
1973,all,511-513,cpr_FirstMode,0.4561905176565
1973,all,511-513,cpr_SecondMode,-0.9200245064881756
1974,all,511-513,cpr_FirstMode,0.3364630805850989
1974,all,511-513,cpr_SecondMode,-0.7406687967311562
1977,all,511-513,cpr_FirstMode,0.6877096183015871
1977,all,511-513,cpr_SecondMode,1.5223624836199996
1978,all,511-513,cpr_FirstMode,0.2687833113702314
1978,all,511-513,cpr_SecondMode,-0.13224561983601932
1979,all,511-513,cpr_FirstMode,-0.8441722705812008
1979,all,511-513,cpr_SecondMode,-0.5246821319752518
1980,all,511-513,cpr_FirstMode,-0.17301804528477716
1980,all,511-513,cpr_SecondMode,0.020630291150372432
1981,all,511-513,cpr_FirstMode,-0.12889739188508842
1981,all,511-513,cpr_SecondMode,0.3893375809891108
1982,all,511-513,cpr_FirstMode,0.27714111179934114
1982,all,511-513,cpr_SecondMode,0.5898212757517455
1983,all,511-513,cpr_FirstMode,0.7466270560869567
1983,all,511-513,cpr_SecondMode,-0.3529063239820378
1984,all,511-513,cpr_FirstMode,0.9603563854674013
1984,all,511-513,cpr_SecondMode,-0.04026515445274214
1985,all,511-513,cpr_FirstMode,1.1100222396103212
1985,all,511-513,cpr_SecondMode,0.08441446373408752
1986,all,511-513,cpr_FirstMode,0.8835883258073696
1986,all,511-513,cpr_SecondMode,0.3279133752458247
1987,all,511-513,cpr_FirstMode,1.0005722734999176
1987,all,511-513,cpr_SecondMode,0.7101287883485276
1988,all,511-513,cpr_FirstMode,0.9259962985568471
1988,all,511-513,cpr_SecondMode,0.5280167529591387
1989,all,511-513,cpr_FirstMode,0.8089388889385025
1989,all,511-513,cpr_SecondMode,0.5930684959760745
1990,all,511-513,cpr_FirstMode,-0.5254937092193523
1990,all,511-513,cpr_SecondMode,0.28473024786099654
1991,all,511-513,cpr_FirstMode,-1.2476513484200114
1991,all,511-513,cpr_SecondMode,0.13655914065455552
1992,all,511-513,cpr_FirstMode,-0.621022452785665
1992,all,511-513,cpr_SecondMode,-0.2887502278524504
1993,all,511-513,cpr_FirstMode,-1.181463620123347
1993,all,511-513,cpr_SecondMode,-0.37705592358843437
1994,all,511-513,cpr_FirstMode,-0.5033203671401547
