Year,stat_area,Season,Value,Indicator
1970,511-513,fall,-1.0314254504891671,nefsc_size_spectra_slope
1971,511-513,fall,-1.094567142884568,nefsc_size_spectra_slope
1972,511-513,fall,-1.1202346894897963,nefsc_size_spectra_slope
1973,511-513,fall,-1.0737194186899426,nefsc_size_spectra_slope
1974,511-513,fall,-1.1176955417732075,nefsc_size_spectra_slope
1975,511-513,fall,-1.061946628881687,nefsc_size_spectra_slope
1976,511-513,fall,-1.1101480617221506,nefsc_size_spectra_slope
1979,511-513,fall,-1.0972495607715966,nefsc_size_spectra_slope
1981,511-513,fall,-1.1369473351950132,nefsc_size_spectra_slope
1982,511-513,fall,-1.1600936369113544,nefsc_size_spectra_slope
1983,511-513,fall,-1.1448637346278416,nefsc_size_spectra_slope
1984,511-513,fall,-1.1402476963888784,nefsc_size_spectra_slope
1985,511-513,fall,-1.1429608217799558,nefsc_size_spectra_slope
1986,511-513,fall,-1.1263208503925222,nefsc_size_spectra_slope
1987,511-513,fall,-1.1274519621916221,nefsc_size_spectra_slope
1988,511-513,fall,-1.1526924880495537,nefsc_size_spectra_slope
1992,511-513,fall,-1.1474282930175201,nefsc_size_spectra_slope
1994,511-513,fall,-1.1678497510370187,nefsc_size_spectra_slope
1995,511-513,fall,-1.183963537907457,nefsc_size_spectra_slope
1996,511-513,fall,-1.1221112286459174,nefsc_size_spectra_slope
1997,511-513,fall,-1.1674340771678655,nefsc_size_spectra_slope
1998,511-513,fall,-1.0954337153922438,nefsc_size_spectra_slope
1999,511-513,fall,-1.1101772650892918,nefsc_size_spectra_slope
2000,511-513,fall,-1.122773238669594,nefsc_size_spectra_slope
2001,511-513,fall,-1.0974581233041374,nefsc_size_spectra_slope
2002,511-513,fall,-1.0177200357193579,nefsc_size_spectra_slope
2003,511-513,fall,-1.0959829992141044,nefsc_size_spectra_slope
2004,511-513,fall,-1.129921269879374,nefsc_size_spectra_slope
2005,511-513,fall,-1.1003887238203978,nefsc_size_spectra_slope
2006,511-513,fall,-1.1263048757179375,nefsc_size_spectra_slope
